# Archivo de precios de termicas (plpcosce.dat)
# Numero de centrales termicas con cambio de costo variable
 200 
# Nombre de la central
'CMPC_PACIFICO_BL3'
# Numero de etapas
    48
# Mes   Etapa    CosVar
   06     012     069.6
   06     013     069.6
   06     014     069.6
   06     015     069.6
   07     016     070.4
   07     017     070.4
   07     018     070.4
   07     019     070.4
   08     020     073.8
   08     021     073.8
   08     022     073.8
   08     023     073.8
   09     024     078.3
   10     025     081.0
   11     026     079.2
   12     027     074.9
   01     028     072.3
   02     029     072.6
   03     030     074.4
   04     031     076.4
   05     032     076.6
   06     033     076.2
   07     034     077.0
   08     035     080.1
   09     036     084.5
   10     037     087.3
   11     038     084.8
   12     039     078.9
   01     040     075.0
   02     041     075.2
   03     042     077.1
   04     043     079.0
   05     044     079.2
   06     045     078.8
   07     046     079.5
   08     047     082.7
   09     048     087.4
   10     049     090.2
   11     050     087.6
   12     051     080.7
# Nombre de la central
'ATA-TG2A+TG2B+TV2C_GNL_E'
# Numero de etapas
    44
# Mes   Etapa    CosVar
   05     008     062.9
   05     009     062.9
   05     010     062.9
   05     011     062.9
   06     012     062.7
   06     013     062.7
   06     014     062.7
   06     015     062.7
   07     016     063.5
   07     017     063.5
   07     018     063.5
   07     019     063.5
   08     020     066.6
   08     021     066.6
   08     022     066.6
   08     023     066.6
   09     024     070.5
   10     025     073.0
   11     026     071.4
   12     027     067.6
   01     028     065.2
   02     029     065.4
   03     030     067.1
   04     031     068.9
   05     032     069.1
   06     033     068.7
   07     034     069.4
   08     035     072.2
   09     036     076.2
   10     037     078.6
   11     038     076.4
   12     039     071.1
   01     040     067.6
   02     041     067.8
   03     042     069.5
   04     043     071.2
   05     044     071.4
   06     045     071.0
   07     046     071.7
   08     047     074.5
   09     048     078.7
   10     049     081.2
   11     050     078.9
   12     051     072.7
# Nombre de la central
'ATA-TG2B_GNL_E'
# Numero de etapas
    44
# Mes   Etapa    CosVar
   05     008     144.6
   05     009     144.6
   05     010     144.6
   05     011     144.6
   06     012     144.3
   06     013     144.3
   06     014     144.3
   06     015     144.3
   07     016     145.6
   07     017     145.6
   07     018     145.6
   07     019     145.6
   08     020     150.6
   08     021     150.6
   08     022     150.6
   08     023     150.6
   09     024     157.2
   10     025     161.3
   11     026     158.6
   12     027     152.3
   01     028     148.4
   02     029     148.8
   03     030     151.5
   04     031     154.5
   05     032     154.8
   06     033     154.2
   07     034     155.4
   08     035     160.0
   09     036     166.6
   10     037     170.7
   11     038     166.9
   12     039     158.2
   01     040     152.3
   02     041     152.7
   03     042     155.5
   04     043     158.4
   05     044     158.6
