uid,lmp_avg,lmp_min,lmp_max,name,plx_lmp,dlmp,adlmp
102,35.9383584084211,-0.1458698958158493,62.146488189697266,Lagunas220,34.49347371058651,1.4448846978345955,1.4448846978345955
103,49.759674935113814,31.905864715576172,55.78986358642578,Lagunillas154,0.0,49.759674935113814,49.759674935113814
104,49.695220754260106,31.826322555541992,55.73345947265625,Lagunillas220,45.72850261867384,3.9667181355862624,3.9667181355862624
105,464.47772216796875,463.53076171875,464.9512023925781,LaNegra110,42.144265680106265,422.33345648786246,422.33345648786246
106,34.81715761198263,0.049011800438165665,59.91953659057617,LasVioletas066,33.545655564923415,1.271502047059215,1.271502047059215
107,33.15080746600316,0.15728139877319336,55.8306999206543,Lautaro066,33.00600262589867,0.14480484010449146,0.14480484010449146
108,76.18506202243623,30.963668823242188,276.5580139160156,Linares154,46.94203524359329,29.24302677884294,29.24302677884294
109,50.73324975513277,32.41150665283203,58.824462890625,LoAguirre220,45.89004467183899,4.843205083293775,4.843205083293775
110,50.205050786336265,32.30963897705078,57.537872314453125,LoAguirre500,0.0,50.205050786336265,50.205050786336265
111,51.81184795924595,33.25250244140625,60.2339973449707,LoEspejo110,46.450121967388334,5.361725991857618,5.361725991857618
112,34.287256048892495,-0.31062841415405273,60.148887634277344,LosChangos220,33.1332847278596,1.1539713210328912,1.1539713210328912
113,33.52284960512493,-0.26135769486427307,58.77798080444336,LosChangos500,0.0,33.52284960512493,33.52284960512493
114,48.84829908325558,31.14061737060547,54.737422943115234,LosNotros220,44.98202587009067,3.8662732131649094,3.8662732131649094
115,37.25528101410185,6.103226661682129,58.094818115234375,LPalmas220,34.96884182253915,2.2864391915626996,2.2864391915626996
116,48.86168206305731,31.18321418762207,57.31736755371094,LVegas110,44.815200686772585,4.046481376284724,4.046481376284724
117,51.06237404687064,32.60542678833008,59.35546875,LVegas110_exp,45.94259067637491,5.119783370495725,5.119783370495725
118,36.40034597260611,3.0360453128814697,57.60619354248047,LVilos220,35.29956211249271,1.1007838601134026,1.1007838601134026
119,32.87431464024952,0.18383340537548065,57.865909576416016,Maitencillo110,31.634423290296684,1.2398913499528383,1.2398913499528383
120,32.615067777645194,0.03124609962105751,57.242427825927734,Maitencillo220,31.33878258555598,1.2762851920892153,1.2762851920892153
121,70.47994936080207,31.67371368408203,261.344482421875,Malloa154,46.817423266016,23.662526094786067,23.662526094786067
122,35.923166924078636,-0.030753599479794502,62.91941452026367,Mantos220,35.06961003991827,0.8535568841603691,0.8535568841603691
123,50.16204497927711,32.13944625854492,56.215885162353516,Mapal154,45.95939045622675,4.202654523050363,4.202654523050363
124,34.415616127155126,-0.25988098978996277,60.300071716308594,MariaElena220,33.22646447534252,1.1891516518126082,1.1891516518126082
125,75.07049949963887,31.539331436157227,269.5509033203125,Maule154,46.423719798544774,28.646779701094097,28.646779701094097
126,42.30661338851566,16.129053115844727,59.202754974365234,Mauro220,37.57650666973784,4.730106718777819,4.730106718777819
127,35.69429141632281,-0.020267799496650696,61.8934440612793,Mejillones110,34.15161930006984,1.542672116252973,1.542672116252973
128,35.7794031175976,-0.02578430064022541,62.59907913208008,Mejillones220,34.607921875729936,1.1714812418676672,1.1714812418676672
129,49.131244125820345,31.936080932617188,57.11577606201172,Miraflores110,45.293608426693446,3.837635699126899,3.837635699126899
130,34.71138326847826,-0.20909850299358368,60.70528030395508,Miraje220,33.437511567904906,1.273871700573352,1.273871700573352
131,32.95459515863054,-0.141394704580307,57.674312591552734,Molinos110,33.56152611629365,-0.6069309576631099,0.6069309576631099
132,37.31750021945862,6.392946720123291,58.185306549072266,MRedondo220,34.92727353779561,2.390226681663016,2.390226681663016
133,30.655491949857346,-0.3517000079154968,54.150550842285156,Mulchen220,29.92147257442864,0.734019375428705,0.734019375428705
134,48.52655766123817,31.412832260131836,56.19154357910156,Nogales220,44.78375593747461,3.742801723763563,3.742801723763563
135,34.546457976873384,-0.06326880306005478,60.297203063964844,Norgener220,0.0,34.546457976873384,34.546457976873384
136,32.56786231213898,-0.1594260036945343,57.259334564208984,NvaCardones500,0.0,32.56786231213898,32.56786231213898
137,32.60921506002168,-0.14113730192184448,57.32174301147461,NvaMaitencillo500,0.0,32.60921506002168,32.60921506002168
138,32.758106658800635,-0.7460848093032837,57.403404235839844,NvaPAzucar500,0.0,32.758106658800635,32.758106658800635
139,35.749051446280816,-0.1981876939535141,61.84168243408203,NvaVictoria220,34.399266841351086,1.3497846049297308,1.3497846049297308
140,45.11482077602496,-0.1221705973148346,80.83100128173828,NvaZaldivar220,0.0,45.11482077602496,45.11482077602496
141,52.101390452612016,33.49919509887695,60.59308624267578,Ochagavia110,46.64523485430497,5.456155598307049,5.456155598307049
142,9.946313031716272,-0.25424349308013916,28.32988929748535,Oeste220,16.108101544864603,-6.1617885131483305,6.1617885131483305
143,37.08364371590211,-0.12653319537639618,65.34896087646484,Ohiggins220_BP1,35.42965465171247,1.6539890641896449,1.6539890641896449
144,48.61610391026451,31.173913955688477,56.87826156616211,Pachacama110,44.65253917839506,3.963564731869454,3.963564731869454
145,64.89491130056835,31.970861434936523,249.20355224609375,Paine154,46.261001537788104,18.63390976278025,18.63390976278025
146,40.26798853162853,-0.0663158968091011,71.56465911865234,Palestina220,38.002357287342484,2.2656312442860482,2.2656312442860482
147,36.08092306481142,-0.04628150165081024,61.945579528808594,PAlmonte110,34.59866079186803,1.4822622729433945,1.4822622729433945
148,36.08092306481142,-0.04628150165081024,61.945579528808594,PAlmonte220,34.59866079186803,1.4822622729433945,1.4822622729433945
149,51.370319797879176,32.75025939941406,59.6937255859375,PAltoCmpc110,46.26322381711186,5.107095980767319,5.107095980767319
150,36.4474099497976,0.0826411023736,63.44763946533203,Pampa110,0.0,36.4474099497976,36.4474099497976
151,48.72878818284897,31.040618896484375,54.449825286865234,Pangue220,44.91144192884573,3.8173462540032403,3.8173462540032403
152,32.828333223465876,-0.25654271245002747,58.08039093017578,Paposo220,31.64215814742956,1.1861750760363172,1.1861750760363172
153,50.04158336775644,28.607141494750977,59.73538589477539,Parral154,46.148478320042415,3.893105047714023,3.893105047714023
154,34.08769518349852,1.3160767555236816,58.01545715332031,PAzucar110,32.308795060339904,1.7789001231586141,1.7789001231586141
155,33.961891112583025,1.5114421844482422,57.75293731689453,PAzucar220,32.27051942861307,1.6913716839699546,1.6913716839699546
156,33.268151662534194,0.8143019080162048,57.44498062133789,PColorada220,31.795321173655815,1.4728304888783796,1.4728304888783796
157,68.49653882072086,32.0830078125,256.7694396972656,PCortes154,46.802703541262886,21.69383527945797,21.69383527945797
158,48.760278122765676,31.632524490356445,53.70668029785156,Pehuenche220,45.161825627976704,3.5984524947889724,3.5984524947889724
159,50.511606557028635,32.408382415771484,56.58243942260742,Petroquim154,46.20004079950837,4.311565757520263,4.311565757520263
160,32.32537630848986,-0.3517000079154968,56.29903793334961,Pichirrahue220,32.895895149412446,-0.5705188409225883,0.5705188409225883
161,32.428175170007826,-0.21456080675125122,56.30155563354492,Pichirropulli220,32.86273242885146,-0.4345572588436326,0.4345572588436326
162,35.093265722527924,-0.042041800916194916,62.46084213256836,Pid-Pid110,35.17808506080227,-0.08481933827434318,0.08481933827434318
163,32.640688251659626,0.047011598944664,56.15826416015625,Pillanlelbun066,32.13555868924053,0.5051295624190928,0.5051295624190928
164,32.47544754458414,-0.24022430181503296,56.83506393432617,PMontt220,33.19795562194145,-0.7225080773573112,0.7225080773573112
165,49.95386094138736,32.13996887207031,56.15256118774414,PNegro220,45.65726922007874,4.296591721308623,4.296591721308623
166,49.41694460596357,31.506471633911133,57.269195556640625,Polpaico220,45.38057160093717,4.036373005026405,4.036373005026405
167,50.04601592109317,32.25222396850586,57.36504364013672,Polpaico500,0.0,50.04601592109317,50.04601592109317
168,144.85598073323212,0.12816759943962097,467.19000244140625,Portada110,37.83532004014144,107.02066069309068,107.02066069309068
169,49.724412089302426,31.54936408996582,58.26850128173828,PPeuco110,45.32310356733037,4.401308521972055,4.401308521972055
170,37.3977292463893,6.4610419273376465,58.243202209472656,PuntaSierra220,0.0,37.3977292463893,37.3977292463893
171,48.027314651580085,30.794677734375,56.09368896484375,Quillota110,44.176563340134216,3.850751311445869,3.850751311445869
172,47.79076407069252,30.453792572021484,55.89132308959961,Quillota220,44.27844834120255,3.51231572948997,3.51231572948997
173,47.48666909762791,30.279422760009766,55.467376708984375,Quintero220,44.142530721350326,3.3441383762775843,3.3441383762775843
174,32.38754699855954,-0.25491249561309814,56.41246795654297,Rahue220,32.915256608777995,-0.5277096102184515,0.5277096102184515
175,48.74829922403608,31.040618896484375,54.63742446899414,Ralco220,44.939214734681805,3.8090844893542766,3.8090844893542766
176,67.93415036655608,31.770387649536133,255.65228271484375,Rancagua154,46.68183690236868,21.252313464187402,21.252313464187402
177,51.2478536651248,31.680946350097656,60.27677917480469,Rapel220,46.41703615818185,4.8308175069429495,4.8308175069429495
178,50.885494640895296,32.45258712768555,59.09534454345703,Renca110,45.85366288015796,5.031831760737333,5.031831760737333
179,32.17091748557453,-0.24832940101623535,55.07343673706055,RioTolten220,32.18741962258605,-0.016502137011521256,0.016502137011521256
