# Archivo de precios de termicas (plpcosce.dat)
# Numero de centrales termicas con cambio de costo variable
 271 
# Nombre de la central
'CMPC_PACIFICO_BL3'
# Numero de etapas
    72
# Mes   Etapa    CosVar
   11     035     065.2
   12     036     065.2
   01     037     065.2
   02     038     065.2
   03     039     065.2
   04     040     065.2
   05     041     065.2
   06     042     065.2
   07     043     065.2
   08     044     065.3
   09     045     065.3
   10     046     065.3
   11     047     065.3
   12     048     065.4
   01     049     065.4
   02     050     065.5
   03     051     065.5
   04     052     065.5
   05     053     065.5
   06     054     065.6
   07     055     065.6
   08     056     065.6
   09     057     065.6
   10     058     065.7
   11     059     065.7
   12     060     065.8
   01     061     065.8
   02     062     065.8
   03     063     065.9
   04     064     065.9
   05     065     065.9
   06     066     065.9
   07     067     065.9
   08     068     065.9
   09     069     065.9
   10     070     065.9
   11     071     065.9
   12     072     065.9
# Nombre de la central
'ATA-TG1B_GN_A'
# Numero de etapas
    70
# Mes   Etapa    CosVar
   07     003     113.1
   07     004     111.3
   08     005     110.2
   08     006     110.2
   08     007     110.2
   08     008     110.2
   09     009     109.3
   09     010     109.3
   09     011     109.3
   09     012     109.3
   10     013     108.7
   10     014     108.7
   10     015     108.7
   10     016     108.7
   11     017     108.4
   11     018     108.4
   11     019     108.4
   11     020     108.4
   12     021     108.1
   12     022     108.1
   12     023     108.1
   12     024     108.1
   01     025     107.9
   02     026     107.8
   03     027     107.6
   04     028     107.5
   05     029     107.4
   06     030     107.2
   07     031     107.1
   08     032     107.1
   09     033     107.0
   10     034     106.9
