# Archivo de mantenimientos embalses (plpmanem.dat)
# Numero de embalses con mantenimientos
 6 
# Nombre del embalse
'CIPRESES'
#   Numero de Etapas con mantenimiento
    72
#   Mes   Etapa     VolMin     VolMax
     07     003  0.5758340  0.7196000
     07     004  0.5758340  0.7196000
     08     005  0.5758340  0.7196000
     08     006  0.5758340  0.7196000
     08     007  0.5758340  0.7196000
     08     008  0.5758340  0.7196000
     09     009  0.5758340  0.7196000
     09     010  0.5758340  0.7196000
     09     011  0.5758340  0.7196000
     09     012  0.5758340  0.7196000
     10     013  0.5758340  0.7196000
     10     014  0.5758340  0.7196000
     10     015  0.5758340  0.7196000
     10     016  0.5758340  0.7196000
     11     017  0.5758340  0.7196000
     11     018  0.5758340  0.7196000
     11     019  0.5758340  0.7196000
     11     020  0.5758340  0.7196000
     12     021  0.5758340  0.7196000
     12     022  0.5758340  0.7196000
     12     023  0.5758340  0.7196000
     12     024  0.5758340  0.7196000
     01     025  0.5758340  0.7196000
     02     026  0.5758340  0.7196000
     03     027  0.5758340  0.7196000
     04     028  0.5758340  0.7196000
     05     029  0.5758340  0.7196000
     06     030  0.5758340  0.7196000
     07     031  0.5758340  0.7196000
     08     032  0.5758340  0.7196000
     09     033  0.5758340  0.7196000
     10     034  0.5758340  0.7196000
     11     035  0.5758340  0.7196000
     12     036  0.5758340  0.7196000
     01     037  0.5758340  0.7196000
     02     038  0.5758340  0.7196000
     03     039  0.5758340  0.7196000
     04     040  0.5758340  0.7196000
     05     041  0.5758340  0.7196000
     06     042  0.5758340  0.7196000
     07     043  0.5758340  0.7196000
     08     044  0.5758340  0.7196000
