# Archivo de demandas por barra (plpdem.dat)
# Numero de barras
241
# Nombre de la Barra
'Coronel066'
# Numero de Demandas
234
# Mes  Etapa   Demanda
   03    097    152.79
   03    098    145.42
   03    099    146.19
   04    100    156.99
   04    101    146.79
   04    102    158.67
   05    103    183.11
   05    104    180.37
   05    105    185.04
   06    106    149.84
   06    107    147.38
   06    108    152.09
   07    109    124.08
   07    110    118.72
   07    111    118.82
   08    112    135.66
   08    113    133.98
   08    114    136.79
   09    115    165.10
   09    116    158.01
   09    117    161.62
   10    118    142.25
   10    119    141.05
   10    120    141.13
   11    121    133.60
   11    122    128.13
   11    123    132.52
   12    124    141.29
   12    125    140.57
   12    126    141.22
   01    127    161.45
   01    128    154.19
   01    129    151.95
   02    130    166.06
   02    131    158.51
   02    132    165.26
   03    133    158.18
   03    134    150.07
   03    135    150.96
   04    136    149.72
   04    137    139.65
   04    138    151.99
   05    139    179.95
   05    140    176.82
   05    141    181.65
   06    142    156.30
   06    143    153.74
   06    144    158.65
   07    145    129.85
   07    146    124.57
   07    147    124.73
   08    148    142.74
   08    149    140.81
   08    150    144.45
   09    151    173.40
   09    152    165.62
   09    153    169.61
   10    154    152.48
   10    155    150.59
   10    156    150.73
   11    157    135.66
   11    158    129.98
   11    159    134.43
   12    160    148.75
   12    161    147.09
   12    162    147.33
   01    163    167.97
   01    164    157.97
   01    165    156.80
   02    166    174.04
   02    167    167.13
   02    168    173.50
   03    169    166.29
   03    170    158.13
   03    171    159.03
   04    172    141.45
   04    173    132.17
   04    174    143.55
   05    175    173.81
   05    176    170.57
   05    177    175.19
   06    178    157.64
   06    179    155.17
   06    180    159.50
   07    181    131.66
   07    182    126.54
   07    183    126.65
   08    184    145.14
   08    185    143.18
   08    186    146.89
   09    187    174.97
   09    188    167.82
   09    189    171.62
   10    190    150.12
   10    191    148.23
   10    192    148.05
   11    193    141.72
   11    194    135.92
   11    195    140.58
   12    196    145.36
   12    197    144.46
   12    198    145.21
   01    199    166.09
   01    200    157.41
   01    201    155.93
   02    202    171.24
   02    203    164.24
   02    204    170.84
   03    205    163.35
   03    206    155.90
   03    207    156.83
   04    208    141.50
   04    209    132.74
   04    210    143.16
   05    211    173.02
   05    212    169.80
   05    213    174.39
   06    214    154.97
   06    215    152.58
   06    216    156.58
   07    217    137.84
   07    218    132.18
   07    219    132.36
   08    220    150.17
   08    221    147.77
   08    222    151.91
   09    223    182.04
   09    224    174.80
   09    225    178.36
   10    226    150.21
   10    227    148.32
   10    228    148.14
   11    229    141.72
   11    230    135.92
   11    231    140.58
   12    232    150.49
   12    233    149.05
   12    234    149.74
# Nombre de la Barra
'Arica066'
# Numero de Demandas
234
# Mes  Etapa   Demanda
   07    001      5.29
   07    002      5.22
   07    003      5.13
   07    004      4.89
   07    005      5.20
   07    006      5.11
   07    007      5.21
   07    008      5.27
   07    009      5.21
   07    010      5.32
   07    011      5.43
   07    012      5.36
   07    013      5.27
   07    014      5.01
   07    015      5.33
   07    016      5.23
   07    017      5.35
   07    018      5.41
   07    019      5.35
   07    020      5.48
   07    021      5.26
   07    022      5.22
   07    023      5.03
   07    024      5.18
   07    025      5.32
   07    026      5.30
   07    027      5.27
   07    028      5.09
   07    029      5.23
   07    030      5.35
   08    031      4.99
   08    032      4.98
   08    033      5.18
   08    034      5.13
   08    035      5.10
   08    036      5.32
   08    037      5.06
   08    038      5.03
   08    039      5.26
   08    040      4.87
   08    041      4.85
   08    042      5.04
   09    043      5.14
   09    044      5.02
   09    045      5.19
   09    046      5.08
   09    047      4.98
   09    048      5.13
   09    049      5.18
   09    050      5.05
   09    051      5.22
   09    052      5.29
   09    053      5.19
   09    054      5.35
   10    055      5.47
   10    056      5.46
   10    057      5.65
   10    058      5.28
   10    059      5.26
   10    060      5.47
   10    061      5.29
   10    062      5.27
   10    063      5.48
   10    064      5.69
   10    065      5.68
   10    066      5.83
   11    067      5.86
   11    068      5.87
   11    069      5.97
   11    070      5.64
   11    071      5.66
   11    072      5.76
   11    073      5.85
   11    074      5.87
   11    075      5.97
   11    076      5.88
   11    077      5.89
   11    078      5.99
   12    079      6.02
   12    080      6.03
   12    081      6.13
   12    082      5.90
   12    083      5.94
   12    084      6.00
   12    085      6.00
   12    086      6.04
   12    087      6.15
   12    088      6.24
   12    089      6.23
   12    090      6.34
   01    091      6.29
   01    092      6.19
   01    093      6.47
   02    094      6.02
   02    095      6.02
   02    096      6.23
   03    097      5.69
   03    098      5.67
   03    099      5.85
   04    100      6.71
   04    101      6.66
   04    102      6.91
   05    103      6.30
   05    104      6.16
   05    105      6.42
   06    106      5.32
   06    107      5.31
   06    108      5.43
   07    109      5.52
   07    110      5.42
   07    111      5.60
   08    112      5.30
   08    113      5.28
   08    114      5.49
   09    115      5.45
   09    116      5.33
   09    117      5.50
   10    118      5.70
   10    119      5.68
   10    120      5.88
   11    121      6.18
   11    122      6.20
   11    123      6.30
   12    124      6.25
   12    125      6.28
   12    126      6.37
   01    127      6.49
   01    128      6.40
   01    129      6.71
   02    130      6.21
   02    131      6.20
   02    132      6.43
   03    133      5.90
   03    134      5.88
   03    135      6.09
   04    136      6.45
   04    137      6.40
   04    138      6.64
   05    139      6.18
   05    140      6.04
   05    141      6.30
   06    142      5.55
   06    143      5.54
   06    144      5.67
   07    145      5.79
   07    146      5.69
   07    147      5.87
   08    148      5.57
   08    149      5.54
   08    150      5.79
   09    151      5.71
   09    152      5.58
   09    153      5.76
   10    154      6.07
   10    155      6.04
   10    156      6.26
   11    157      6.27
   11    158      6.29
   11    159      6.39
   12    160      6.57
   12    161      6.57
   12    162      6.68
   01    163      6.84
   01    164      6.75
   01    165      7.04
   02    166      6.50
   02    167      6.49
   02    168      6.76
   03    169      6.19
   03    170      6.17
   03    171      6.38
   04    172      6.07
   04    173      6.03
   04    174      6.24
   05    175      5.99
   05    176      5.84
   05    177      6.10
   06    178      5.62
   06    179      5.64
   06    180      5.76
   07    181      5.89
   07    182      5.79
   07    183      5.96
   08    184      5.66
   08    185      5.63
   08    186      5.88
   09    187      5.77
   09    188      5.66
   09    189      5.85
   10    190      6.01
   10    191      5.99
   10    192      6.22
   11    193      6.55
   11    194      6.57
   11    195      6.68
   12    196      6.43
   12    197      6.46
   12    198      6.54
   01    199      6.71
   01    200      6.62
   01    201      6.93
   02    202      6.39
   02    203      6.38
   02    204      6.65
   03    205      6.09
   03    206      6.07
   03    207      6.27
   04    208      6.08
   04    209      6.02
   04    210      6.25
   05    211      5.97
   05    212      5.82
   05    213      6.08
   06    214      5.54
   06    215      5.59
   06    216      5.72
   07    217      6.13
   07    218      6.02
   07    219      6.21
   08    220      5.92
   08    221      5.89
   08    222      6.13
   09    223      6.03
   09    224      5.91
   09    225      6.08
   10    226      6.01
   10    227      6.00
   10    228      6.22
   11    229      6.55
   11    230      6.57
   11    231      6.68
   12    232      6.65
   12    233      6.67
   12    234      6.76
# Nombre de la Barra
'Rahue220'
# Numero de Demandas
234
# Mes  Etapa   Demanda
   07    001     76.84
   07    002     71.24
   07    003     84.86
   07    004     96.40
   07    005     99.95
   07    006     97.93
   07    007     97.80
   07    008     97.69
   07    009     98.90
   07    010     96.22
   07    011     75.90
   07    012     70.46
   07    013     84.25
   07    014     95.75
   07    015     99.02
   07    016     96.92
   07    017     96.84
   07    018     96.70
   07    019     97.81
   07    020     95.10
   07    021     73.74
   07    022     70.91
   07    023     91.77
   07    024     96.79
   07    025     96.30
   07    026     73.38
   07    027     70.30
   07    028     89.18
   07    029     95.24
   07    030     95.46
   08    031     72.73
   08    032     92.54
   08    033     93.61
   08    034     73.74
   08    035     92.79
   08    036     92.75
   08    037     77.08
   08    038     97.82
   08    039     97.67
   08    040     78.09
   08    041     98.40
   08    042     99.47
   09    043     79.46
   09    044    101.04
   09    045     99.35
   09    046     82.27
   09    047    103.25
   09    048    102.93
   09    049     80.75
   09    050    102.92
   09    051    100.85
   09    052     77.32
   09    053     97.22
   09    054     97.03
   10    055     86.30
   10    056    108.48
   10    057    108.55
   10    058     90.25
   10    059    116.44
   10    060    114.71
   10    061     86.06
   10    062    110.98
   10    063    109.30
   10    064     87.74
   10    065    111.92
   10    066    110.31
   11    067     84.10
   11    068    108.15
   11    069    106.85
   11    070     84.12
   11    071    108.15
   11    072    106.83
   11    073     83.71
   11    074    107.58
   11    075    106.24
   11    076     82.41
   11    077    105.85
