# scale_objective=1000
type,phase,scene,name,rhs,coefficients
o,27,1,sddp_ecut_0_27_2_23,1.96779e+10,28004:8.16209,28035:-233.717,28066:-0,28097:-0,28128:50.6539,28159:10049.3,28221:22697,28252:-256.569,sddp_alpha_0_26=1000
o,26,1,sddp_fcut_0_26_2_24,2.06006e+10,28004:234944,28035:32288.4,28066:37834.2,28097:37834.2,28128:98.764,28159:11892.1,28221:51252.3,28252:23045.8,sddp_alpha_0_25=1000
o,25,1,sddp_fcut_0_25_2_25,1.81036e+09,28004:187061,28035:32.7406,28066:32519.1,28097:32517.2,28128:11.5291,28159:11188.7,28221:48041.5,28252:21503.3,sddp_alpha_0_24=1000
o,24,1,sddp_fcut_0_24_2_26,1.74607e+09,27974:279745,28005:-241.708,28036:77581,28067:45262.6,28098:11.7799,28129:11620.1,28191:40940.4,28222:18324.8,sddp_alpha_0_23=1000
o,23,1,sddp_fcut_0_23_2_27,1.73776e+09,27964:69773.4,27995:-246.277,28026:31278.4,28057:31278.4,28088:5.27701,28119:10085.5,28181:22926,28212:10261.6,sddp_alpha_0_22=1000
o,22,1,sddp_fcut_0_22_2_28,1.06353e+09,27964:-0,27995:-264.764,28026:-0,28057:-0,28088:1.91236,28119:10085.5,28181:0.758101,28212:0.339325,sddp_alpha_0_21=1000
o,21,1,sddp_fcut_0_21_2_29,4.22376e+08,27964:-0,27995:-266.922,28026:-0,28057:-0,28088:0.244815,28119:10080.5,28181:-0,28212:-0,sddp_alpha_0_20=1000
o,20,1,sddp_fcut_0_20_2_30,4.21572e+08,27964:-0,27995:-0,28026:-0,28057:-0,28088:0.20385,28119:10097.6,28181:-266.963,28212:-0,sddp_alpha_0_19=1000
o,19,1,sddp_fcut_0_19_2_31,4.20249e+08,27964:-0,27995:-0,28026:-0,28057:-0,28088:0.205964,28119:10097.6,28181:-266.963,28212:-0,sddp_alpha_0_18=1000
o,18,1,sddp_fcut_0_18_2_32,4.36972e+08,27964:-0,27995:-0,28026:-0,28057:-0,28088:0.322396,28119:10023.1,28181:-0,28212:-0,sddp_alpha_0_17=1000
o,17,1,sddp_fcut_0_17_2_33,4.55671e+08,27964:-0,27995:-0,28026:-0,28057:-0,28088:0.771994,28119:9919.79,28181:-0,28212:-0,sddp_alpha_0_16=1000
o,16,1,sddp_fcut_0_16_2_34,4.7331e+08,27964:8834.81,27995:0.0983355,28026:-0,28057:-0,28088:0.479956,28119:9919.79,28181:-0,28212:-0,sddp_alpha_0_15=1000
o,15,1,sddp_fcut_0_15_2_35,4.52907e+08,27964:44477.6,27995:2.09376,28026:-0,28057:-0,28088:0.422757,28119:10023.1,28181:-0,28212:-0,sddp_alpha_0_14=1000
o,14,1,sddp_fcut_0_14_2_36,4.44664e+08,27964:27876.8,27995:2.83284,28026:27876.8,28057:-0,28088:1.15093,28119:10023.1,28181:0.261083,28212:11674,sddp_alpha_0_13=1000
o,13,1,sddp_fcut_0_13_2_37,4.91615e+08,27964:65361.4,27995:7.31037,28026:28099.1,28057:-0,28088:1.46359,28119:10103,28181:40100.4,28212:17948.8,sddp_alpha_0_12=1000
o,12,1,sddp_fcut_0_12_2_38,4.91803e+08,27964:71803.5,27995:7.86575,28026:27664.6,28057:-0,28088:1.45888,28119:9946.81,28181:42709.1,28212:19116.5,sddp_alpha_0_11=1000
o,11,1,sddp_fcut_0_11_2_39,4.92714e+08,27944:71803.5,27975:7.47895,28006:27664.6,28037:-0,28068:1.34896,28099:9946.81,28161:40100.4,28192:17948.8,sddp_alpha_0_10=1000
o,10,1,sddp_fcut_0_10_2_40,5.04877e+08,27944:74560.4,27975:6.35126,28006:28726.7,28037:-0,28068:1.46725,28099:10328.7,28161:44348.9,28192:19850.5,sddp_alpha_0_9=1000
o,9,1,sddp_fcut_0_9_2_41,5.49728e+08,27944:49331.2,27975:7.25724,28006:27787.8,28037:-0,28068:1.90871,28099:9991.13,28161:42899.4,28192:19201.7,sddp_alpha_0_8=1000
o,8,1,sddp_fcut_0_8_2_42,5.3965e+08,27944:0.112861,27975:0.588862,28006:0.112861,28037:-0,28068:1.55102,28099:0.106374,28161:42899.4,28192:17292.6,sddp_alpha_0_7=1000
o,7,1,sddp_fcut_0_7_2_43,5.11951e+08,27944:-0,27975:0.796967,28006:-0,28037:-0,28068:1.78966,28099:9991.13,28161:36186.6,28192:12488.9,sddp_alpha_0_6=1000
o,6,1,sddp_fcut_0_6_2_44,5.28184e+08,27944:-0,27975:1.4879,28006:-0,28037:-0,28068:1.9183,28099:10123.7,28161:36883.8,28192:12729.5,sddp_alpha_0_5=1000
o,5,1,sddp_fcut_0_5_2_45,5.74393e+08,27944:-0,27975:1.30829,28006:-0,28037:-0,28068:1.62581,28099:0.0303294,28161:38967.7,28192:17256.3,sddp_alpha_0_4=1000
o,4,1,sddp_fcut_0_4_2_46,5.81511e+08,27944:-0,27975:1.66047,28006:-0,28037:-0,28068:2.66832,28099:-0,28161:43468.7,28192:18578,sddp_alpha_0_3=1000
o,3,1,sddp_fcut_0_3_2_47,5.295e+08,27924:-0,27955:1.31751,27986:-0,28017:-0,28048:1.91416,28079:-0,28141:0.19331,28172:13117.6,sddp_alpha_0_2=1000
o,2,1,sddp_fcut_0_2_2_48,4.71207e+08,27924:-0,27955:0.645526,27986:-0,28017:-0,28048:1.2801,28079:-0,28141:-0,28172:12022.2,sddp_alpha_0_1=1000
o,1,1,sddp_fcut_0_1_2_49,4.83244e+08,27924:-0,27955:-0,27986:-0,28017:-0,28048:0.974681,28079:-0,28141:-0,28172:13288.9,sddp_alpha_0_0=1000
o,50,1,sddp_fcut_0_50_3_0,2.32968e+09,28054:-0,28085:-0,28116:-0,28147:-0,28178:-0,28209:-0,28271:-0,28302:-0,sddp_alpha_0_49=1000
o,49,1,sddp_ecut_0_49_3_1,2.93319e+09,28054:129496,28085:14.9543,28116:25501.1,28147:-7.23383e-12,28178:2.48612,28209:9168.93,28271:26759.1,28302:17621.5,sddp_alpha_0_48=1000
o,48,1,sddp_ecut_0_48_3_2,3.58186e+09,28054:129496,28085:25.667,28116:23501.2,28147:-7.23383e-12,28178:6.08543,28209:9168.93,28271:26759.1,28302:16239.6,sddp_alpha_0_47=1000
o,47,1,sddp_ecut_0_47_3_3,4.21837e+09,28054:129496,28085:29.5147,28116:21234,28147:-0,28178:7.70857,28209:9168.93,28271:32781.5,28302:14672.9,sddp_alpha_0_46=1000
o,46,1,sddp_ecut_0_46_3_4,4.80682e+09,28054:129496,28085:29.5037,28116:-0,28147:-0,28178:9.73491,28209:9390.03,28271:32781.5,28302:14672.9,sddp_alpha_0_45=1000
o,45,1,sddp_ecut_0_45_3_5,5.465e+09,28054:129496,28085:56284.1,28116:21574,28147:-0,28178:12.0383,28209:9479.14,28271:32781.5,28302:14907.9,sddp_alpha_0_44=1000
o,44,1,sddp_ecut_0_44_3_6,6.14442e+09,28054:154074,28085:108043,28116:44293.5,28147:22188.4,28178:14.271,28209:9239.1,28271:32781.5,28302:15054.3,sddp_alpha_0_43=1000
o,43,1,sddp_ecut_0_43_3_7,6.89534e+09,28054:177895,28085:123622,28116:48463.7,28147:22401.6,28178:16.9462,28209:9370.62,28271:40235.1,28302:18009.2,sddp_alpha_0_42=1000
o,42,1,sddp_ecut_0_42_3_8,7.73948e+09,28004:180080,28035:123604,28066:58356.3,28097:31235.1,28128:21.5515,28159:9751.44,28221:41870.2,28252:18741,sddp_alpha_0_41=1000
o,41,1,sddp_ecut_0_41_3_9,8.61037e+09,28004:204186,28035:144453,28066:61723.1,28097:33037.2,28128:26.5712,28159:10314,28221:44286,28252:19822.3,sddp_alpha_0_40=1000
o,40,1,sddp_ecut_0_40_3_10,9.51009e+09,28004:221646,28035:156804,28066:67001.1,28097:35862.2,28128:35.4216,28159:11196,28221:48072.9,28252:21517.3,sddp_alpha_0_39=1000
o,39,1,sddp_ecut_0_39_3_11,1.03062e+10,28004:222822,28035:156776,28066:67356.7,28097:36052.6,28128:39.0273,28159:11255.4,28221:48328,28252:21631.5,sddp_alpha_0_38=1000
o,38,1,sddp_ecut_0_38_3_12,1.1094e+10,28004:227058,28035:156747,28066:68066.7,28097:36052.6,28128:42.8363,28159:11510.7,28221:49424.1,28252:22122.1,sddp_alpha_0_37=1000
o,37,1,sddp_ecut_0_37_3_13,1.17505e+10,28004:227058,28035:156721,28066:68066.7,28097:36052.6,28128:46.1384,28159:11510.7,28221:49424.1,28252:22122.1,sddp_alpha_0_36=1000
o,36,1,sddp_ecut_0_36_3_14,1.24589e+10,28004:227058,28035:156689,28066:67356.7,28097:36052.6,28128:51.7523,28159:11510.7,28221:49424.1,28252:22727.6,sddp_alpha_0_35=1000
o,35,1,sddp_ecut_0_35_3_15,1.31648e+10,28004:227058,28035:68344.9,28066:66181.5,28097:36052.6,28128:55.6188,28159:10832.9,28221:49424.1,28252:23729.9,sddp_alpha_0_34=1000
o,34,1,sddp_ecut_0_34_3_16,1.38263e+10,28004:227058,28035:68332.9,28066:36052.6,28097:36052.6,28128:58.6573,28159:11510.7,28221:49424.1,28252:22122.1,sddp_alpha_0_33=1000
o,33,1,sddp_ecut_0_33_3_17,1.45586e+10,28004:227058,28035:68320.4,28066:36052.6,28097:36052.6,28128:61.7331,28159:11255.4,28221:48328,28252:21631.5,sddp_alpha_0_32=1000
o,32,1,sddp_ecut_0_32_3_18,1.5316e+10,28004:227058,28035:157642,28066:67356.7,28097:36052.6,28128:64.8768,28159:11015.2,28221:48328,28252:21631.5,sddp_alpha_0_31=1000
o,31,1,sddp_ecut_0_31_3_19,1.61649e+10,28004:227058,28035:157634,28066:67356.7,28097:36052.6,28128:69.4322,28159:11255.4,28221:48328,28252:21631.5,sddp_alpha_0_30=1000
o,30,1,sddp_ecut_0_30_3_20,1.70975e+10,28004:227058,28035:157614,28066:67356.7,28097:36052.6,28128:74.6699,28159:11255.4,28221:48328,28252:21631.5,sddp_alpha_0_29=1000
