#IPDNumIte, IEtapa, ISimul, LDPhiPrv, Emb  1, Emb  2, Emb  3, Emb  4, Emb  5, Emb  6, Emb  7, Emb  8, Emb  9
19,1,4,1737032500,-84.316457,-50.766993,-24.61644,-11.868974,-38.363241,-4.533286,-12.144657,-20.578787,-9.6301534
19,1,5,1723595800,-98.21077,-47.558621,-23.535089,-11.10125,-25.902892,-4.5382024,-0.51611589,-20.505014,-9.376572
19,1,6,1813096900,-106.78013,-73.622311,-24.35664,-11.63128,-25.420217,-4.5826514,-7.7163388,-20.664753,-9.3229904
19,1,7,1782673200,-139.18747,-68.027525,-25.219724,-12.308885,-45.828156,-4.4840973,-10.155564,-20.72405,-9.8327051
19,1,8,1777743000,-137.39298,-99.093533,-27.017794,-14.157003,-35.381512,-4.5003802,-11.051574,-20.785716,-9.3581115
19,1,9,1661328200,-128.549,-120.5717,-26.882687,-13.913929,-44.623323,-4.504893,-13.781847,-20.821644,-9.919321
19,1,10,1549356400,-126.43538,-68.43289,-25.325419,-12.403875,-51.875982,-4.5071406,-8.7649515,-20.782563,-9.8297004
19,1,11,1534178600,-155.89877,-75.299389,-25.52433,-12.674572,-37.850377,-4.4994863,-9.6788858,-20.78003,-9.5244631
19,1,12,1561450600,-170.67643,-117.89108,-25.472279,-12.607284,-30.984495,-4.6314307,-11.925897,-20.818007,-9.636343
19,1,13,1356967100,-99.365244,-70.202654,-26.733059,-13.822129,-59.081573,-4.4999292,-11.774291,-20.886459,-9.7375407
19,1,14,1355008800,-80.108912,-52.268452,-24.477933,-12.053483,-21.082431,-4.502044,-7.8776331,-19.852616,-8.687317
19,1,15,1441765300,-78.834797,-45.115913,-21.980317,-10.428439,-25.859842,-4.4358064,-10.35505,-19.050385,-8.2913609
19,1,16,1325909400,-85.642864,-57.677431,-26.682498,-13.777205,-42.947431,-4.4938498,-12.994632,-20.761845,-9.8507932
19,1,17,1358445100,-68.325294,-36.354899,-19.103439,-8.5994563,-22.802218,-4.3462243,-5.4506188,-16.821,-7.2501377
19,1,18,1305827500,-71.165177,-50.890192,-25.381653,-13.183941,-56.746701,-4.4834851,-12.6454,-19.696524,-8.7845534
19,1,19,1382364100,-71.567951,-24.729778,-17.920766,-7.8529813,-19.582556,-4.2506843,-7.9533903,-18.797994,-8.2970756
19,1,20,1480683300,-78.140404,-41.477885,-20.813148,-10.182652,-19.338805,-4.2591123,-8.9965325,-16.717786,-7.310898
19,1,21,1458196900,-75.163662,-54.756979,-25.130796,-12.791849,-42.07819,-4.4833096,-9.0857845,-19.940722,-8.7733742
19,1,22,1246684800,-98.113349,-69.209645,-26.963811,-13.886466,-31.305056,-4.5390529,-13.549408,-20.9931,-10.001401
19,1,23,1246684800,-98.113349,-69.209645,-26.963811,-13.886466,-31.305056,-4.5390529,-13.549408,-20.9931,-10.001401
19,1,24,1246684800,-98.113349,-69.209645,-26.963811,-13.886466,-31.305056,-4.5390529,-13.549408,-20.9931,-10.001401
19,1,25,1246684800,-98.113349,-69.209645,-26.963811,-13.886466,-31.305056,-4.5390529,-13.549408,-20.9931,-10.001401
19,1,26,1246684800,-98.113349,-69.209645,-26.963811,-13.886466,-31.305056,-4.5390529,-13.549408,-20.9931,-10.001401
19,1,27,1246684800,-98.113349,-69.209645,-26.963811,-13.886466,-31.305056,-4.5390529,-13.549408,-20.9931,-10.001401
20,1,1,1491663200,-94.269266,-64.20937,-23.142255,-10.500926,-48.692583,-4.5139381,-5.9658297,-20.27695,-9.0228862
20,1,2,1632275900,-72.218764,-25.927713,-17.513703,-7.4180913,-16.47229,-4.2124735,-4.8249092,-16.268208,-6.8613543
20,1,3,1748595200,-73.812783,-41.037907,-20.453475,-9.5273235,-14.315431,-4.2764124,-9.1248527,-17.84395,-7.8219884
20,1,4,1736833400,-84.302281,-52.714523,-26.680528,-13.929639,-26.483214,-4.4754534,-7.6969044,-20.620231,-9.7528019
20,1,5,1737082500,-98.307899,-48.55916,-23.965632,-11.333693,-58.231732,-4.5164634,-8.4364923,-20.668798,-9.7854955
20,1,6,1814316700,-106.73353,-62.375647,-24.956457,-12.266426,-27.656067,-4.5749372,-8.146378,-20.071453,-8.78274
20,1,7,1782291800,-136.20426,-68.148833,-27.192374,-14.227293,-47.271427,-4.4948948,-9.9869126,-20.765888,-9.8652007
20,1,8,1772827800,-134.93257,-103.6464,-25.747743,-12.846998,-33.730591,-4.4911482,-9.5128691,-20.860578,-9.5789631
20,1,9,1660778200,-128.549,-120.32413,-26.789753,-13.820995,-27.953634,-4.504893,-12.5454,-20.804099,-9.9017764
20,1,10,1552774600,-132.6575,-74.270239,-27.202541,-14.25083,-30.354632,-4.5161411,-12.791021,-20.752775,-9.8569948
20,1,11,1533703400,-156.92768,-75.849822,-24.459633,-11.602126,-29.625359,-4.5043039,-11.642716,-20.739073,-9.7759257
20,1,12,1563728800,-172.04834,-121.91097,-25.550467,-12.681278,-39.993988,-4.633323,-11.311428,-20.808153,-9.6516994
20,1,13,1359249500,-98.490815,-69.617641,-27.321519,-14.079423,-60.954795,-4.6016963,-7.7431849,-21.351533,-10.060818
20,1,14,1357659800,-81.96658,-54.384588,-23.518915,-11.074586,-45.227576,-4.5189807,-8.0038298,-19.585729,-8.4147382
20,1,15,1442971900,-78.843828,-44.588479,-22.422484,-10.839185,-26.134637,-4.4686925,-10.405271,-19.152877,-8.2054691
20,1,16,1327503800,-91.520704,-63.451499,-26.800412,-13.777983,-58.678256,-4.5135377,-10.98303,-20.921375,-9.9656212
20,1,17,1359721100,-68.909529,-39.836263,-19.404922,-8.692489,-19.055215,-4.2776028,-6.2642846,-16.721675,-7.2360598
20,1,18,1301028600,-91.424756,-64.013344,-23.81922,-11.443779,-19.465355,-4.4245768,-6.0136967,-19.562661,-8.5538812
20,1,19,1378963400,-71.567951,-25.375339,-17.227322,-7.6066846,-19.575008,-4.1355306,-7.2529853,-16.424976,-6.9926931
20,1,20,1486867900,-85.985337,-39.908447,-19.003696,-8.2390345,-14.499577,-4.2875814,-8.6082789,-16.61523,-6.990608
20,1,21,1468180400,-73.548243,-158.09044,-24.990887,-12.413799,-40.474025,-4.4876252,-6.8846148,-20.368598,-9.0925907
20,1,22,1246057600,-74.448134,-56.787217,-26.835967,-13.863909,-59.618771,-4.5418848,-13.409418,-20.996803,-9.9943854
20,1,23,1246057600,-74.448134,-56.787217,-26.835967,-13.863909,-59.618771,-4.5418848,-13.409418,-20.996803,-9.9943854
20,1,24,1246057600,-74.448134,-56.787217,-26.835967,-13.863909,-59.618771,-4.5418848,-13.409418,-20.996803,-9.9943854
20,1,25,1246057600,-74.448134,-56.787217,-26.835967,-13.863909,-59.618771,-4.5418848,-13.409418,-20.996803,-9.9943854
20,1,26,1246057600,-74.448134,-56.787217,-26.835967,-13.863909,-59.618771,-4.5418848,-13.409418,-20.996803,-9.9943854
20,1,27,1246057600,-74.448134,-56.787217,-26.835967,-13.863909,-59.618771,-4.5418848,-13.409418,-20.996803,-9.9943854
21,1,1,1494021300,-77.019302,-48.919652,-23.910705,-11.506592,-40.159115,-4.4992952,-12.149785,-20.146912,-8.9550757
21,1,2,1632491700,-72.273648,-25.970723,-17.558252,-7.450469,-16.491934,-4.2180835,-4.8301641,-16.276719,-6.8627373
21,1,3,1744120400,-70.734982,-40.852565,-20.394342,-9.4663885,-14.417397,-4.2764465,-9.1938117,-17.791581,-7.307609
21,1,4,1738151500,-84.303871,-51.755177,-25.691505,-13.118261,-33.950325,-4.5376285,-12.628784,-20.582184,-9.4895553
21,1,5,1739130600,-97.834986,-54.767597,-23.89822,-11.091205,-30.224741,-4.578577,-6.7780226,-20.643234,-9.6900948
21,1,6,1812362100,-101.35336,-40.403567,-23.582021,-11.545952,-33.659877,-4.5259704,-9.7669914,-19.862098,-8.712655
21,1,7,1781069800,-135.63645,-67.80502,-26.176603,-13.258652,-40.915682,-4.4870058,-13.3945,-20.725946,-9.8367082
21,1,8,1777160500,-139.0364,-107.03801,-25.759332,-12.812636,-31.840475,-4.5077722,-11.400456,-20.787087,-9.7594678
21,1,9,1663980100,-128.549,-120.43252,-26.712838,-13.74876,-58.275722,-4.5028712,-12.558367,-20.82714,-9.9207077
21,1,10,1551965700,-128.65162,-70.183271,-26.010778,-13.09383,-46.554617,-4.4881924,-9.6961118,-20.752339,-9.8322868
21,1,11,1537001000,-154.24972,-71.86726,-26.834182,-13.968711,-33.710091,-4.5025948,-12.008616,-20.851089,-9.6291842
21,1,12,1563858300,-171.93801,-121.87117,-25.201401,-12.310178,-38.026677,-4.6435263,-12.248686,-20.792849,-9.7118462
21,1,13,1362136300,-100.52744,-70.781947,-27.30177,-14.078638,-60.05552,-4.5922486,-13.732776,-21.358933,-10.062338
21,1,14,1358213800,-81.055,-53.611346,-22.858677,-10.490275,-34.298306,-4.5073299,-10.097904,-19.405922,-8.2699051
21,1,15,1443922400,-75.896467,-46.207222,-21.812842,-10.231685,-32.367045,-4.4440363,-6.722291,-19.110072,-8.3082481
21,1,16,1325578500,-79.014186,-54.810744,-26.320472,-13.426575,-58.777792,-4.4969727,-11.85752,-20.82514,-9.907028
21,1,17,1359519600,-69.197068,-35.035359,-18.831665,-8.3470981,-18.806255,-4.2742094,-8.2090744,-17.061046,-6.9661192
21,1,18,1298156100,-74.479802,-45.911617,-24.625608,-13.074551,-20.165981,-4.4177801,-5.9308666,-17.427527,-7.5122074
21,1,19,1375217300,-71.567951,-34.96233,-16.551005,-6.8718267,-19.374454,-4.1262803,-1.2324856,-13.914724,-6.3555147
21,1,20,1500282000,-80.248794,-43.435252,-21.198487,-10.259648,-21.192706,-4.3511382,-9.7306069,-17.494494,-7.56873
21,1,21,1531957500,-151.4915,-59.583207,-24.778621,-12.014894,-22.240513,-4.4869557,-10.072684,-20.56221,-9.2373912
21,1,22,1247037600,-84.788402,-57.785762,-27.067563,-13.948323,-59.289523,-4.5643784,-4.4581446,-21.092064,-10.031392
21,1,23,1247037600,-84.788402,-57.785762,-27.067563,-13.948323,-59.289523,-4.5643784,-4.4581446,-21.092064,-10.031392
21,1,24,1247037600,-84.788402,-57.785762,-27.067563,-13.948323,-59.289523,-4.5643784,-4.4581446,-21.092064,-10.031392
21,1,25,1247037600,-84.788402,-57.785762,-27.067563,-13.948323,-59.289523,-4.5643784,-4.4581446,-21.092064,-10.031392
21,1,26,1247037600,-84.788402,-57.785762,-27.067563,-13.948323,-59.289523,-4.5643784,-4.4581446,-21.092064,-10.031392
21,1,27,1247037600,-84.788402,-57.785762,-27.067563,-13.948323,-59.289523,-4.5643784,-4.4581446,-21.092064,-10.031392
22,1,1,1484253700,-71.13028,-47.216468,-22.28853,-10.243519,-16.913187,-4.3833894,-3.3275201,-19.699097,-8.8661851
22,1,2,1631775600,-71.770074,-25.4707,-17.367388,-7.3268901,-16.504372,-4.2100383,-4.8132328,-16.31903,-6.9861914
22,1,3,1755147600,-78.338307,-41.225599,-20.756481,-9.667143,-14.508669,-4.2816164,-8.8737487,-17.836118,-7.7360699
22,1,4,1744781500,-84.253087,-52.395397,-26.311627,-13.630167,-28.491421,-4.5242772,-12.945372,-20.674938,-9.8126881
22,1,5,1736240900,-91.308111,-53.815244,-26.123977,-13.425224,-32.773345,-4.5347831,-7.5061209,-20.426463,-9.1570091
22,1,6,1804315900,-99.967352,-74.623813,-23.909642,-11.428164,-17.762976,-4.4994198,-7.7295229,-20.058738,-8.8601854
22,1,7,1780000500,-133.44881,-67.536108,-27.127259,-14.176217,-45.065634,-4.4919401,-10.297453,-20.747962,-9.8538172
22,1,8,1776677500,-137.58356,-103.2156,-26.655678,-13.783522,-32.966198,-4.5010787,-10.460815,-20.877826,-9.5976692
22,1,9,1678111700,-174.16326,-133.99569,-27.766003,-14.329218,-62.145502,-4.6652224,-8.9236205,-21.592342,-10.302842
22,1,10,1558503600,-127.77401,-68.881723,-25.450364,-12.53379,-45.116965,-4.4901174,-12.296684,-20.732178,-9.8378035
22,1,11,1535808100,-154.477,-74.385358,-26.113751,-13.218197,-28.743289,-4.5037093,-12.09382,-20.795251,-9.7358492
22,1,12,1568160700,-171.93672,-123.47095,-25.953031,-13.057142,-42.96791,-4.6459068,-11.615345,-20.815675,-9.7439295
22,1,13,1361815600,-99.715405,-70.402553,-27.032471,-13.96076,-59.512234,-4.5427556,-12.653126,-21.116624,-9.9413601
22,1,14,1356515900,-81.679833,-53.79893,-23.120747,-10.707056,-19.714451,-4.4640399,-8.758102,-19.717713,-8.5925716
22,1,15,1439363900,-76.87365,-38.365707,-21.390479,-10.177378,-24.619082,-4.4589207,-7.2643429,-19.19729,-8.2741518
22,1,16,1325248700,-83.850084,-57.270092,-26.430679,-13.544786,-53.252409,-4.486952,-7.6767641,-20.729099,-9.8376974
